,size,from_Concordia,price
880,4.5,1.0,2375.0
881,5.5,5.0,3500.0
882,4.5,5.0,2000.0
883,3.5,5.0,1385.0
884,1.5,5.0,1114.0
885,3.5,2.0,1650.0
886,5.5,1.0,4820.0
887,4.5,1.0,2230.0
888,3.5,1.0,1875.0
889,1.5,6.0,1200.0
890,4.5,2.0,2390.0
891,4.5,5.0,1195.0
892,3.5,1.0,1695.0
893,4.5,1.0,2150.0
894,1.5,1.0,1655.0
895,1.5,2.0,1820.0
896,5.5,2.0,3200.0
897,5.5,2.0,3450.0
898,3.5,2.0,1605.0
899,1.5,2.0,1275.0
901,3.5,2.0,1550.0
902,4.5,8.0,1900.0
903,3.5,7.0,1390.0
904,1.5,2.0,850.0
905,1.5,8.0,720.0
906,5.5,9.0,1700.0
907,7.5,4.0,2900.0
908,1.5,9.0,740.0
909,6.5,3.0,3500.0
910,3.5,6.0,1350.0
911,4.5,9.0,1550.0
912,1.5,4.0,950.0
913,4.5,7.0,2000.0
914,5.5,10.0,1400.0
915,4.5,1.0,2639.0
916,3.5,1.0,1765.0
917,1.5,1.0,1538.0
918,3.5,3.0,1700.0
919,5.5,2.0,3442.0
920,3.5,2.0,1715.0
921,4.5,2.0,2415.0
922,1.5,2.0,1505.0
923,5.5,1.0,5025.0
924,3.5,1.0,1765.0
925,4.5,1.0,2375.0
926,5.5,5.0,3500.0
927,4.5,5.0,2000.0
928,3.5,5.0,1385.0
929,1.5,5.0,1114.0
930,3.5,2.0,1650.0
931,5.5,1.0,4820.0
932,4.5,1.0,2230.0
933,3.5,1.0,1875.0
934,1.5,6.0,1200.0
935,4.5,2.0,2390.0
936,4.5,5.0,1195.0
937,3.5,1.0,1695.0
